,tamcel,nodos,grado,smallworldness,beta,mean-sw,stdev-sw,sw-min,sw-max,swdiff,absswdiff
97,28,2271,4.69220607662,105.404782703,0.8,2.76700444717,0.761451840307,1.05795468461,4.22129602038,102.637778255,102.637778255
98,28,2271,4.69220607662,105.404782703,0.9,1.01464239418,0.381805315691,0.363840863904,2.05915354579,104.390140308,104.390140308
99,28,2271,4.69220607662,105.404782703,1.0,0.687556821418,0.292732634973,0.333249550625,1.27654458498,104.717225881,104.717225881
100,30,2109,4.89521100047,110.843652194,0.1,108.787994909,1.13554958852,106.38604345,110.278699935,2.05565728579,2.05565728579
101,30,2109,4.89521100047,110.843652194,0.2,99.8370682284,2.35960303399,96.0192596811,104.617075547,11.0065839659,11.0065839659
102,30,2109,4.89521100047,110.843652194,0.3,76.2346376281,2.16275099661,71.9706894027,79.244024983,34.6090145662,34.6090145662
103,30,2109,4.89521100047,110.843652194,0.4,51.5652513257,2.49260397032,47.4387499827,55.4463172128,59.2784008686,59.2784008686
104,30,2109,4.89521100047,110.843652194,0.5,31.7230361647,2.21398533914,26.331998689,35.0011162628,79.1206160296,79.1206160296
105,30,2109,4.89521100047,110.843652194,0.6,16.2919214483,1.51207015861,13.1501635893,19.1788564651,94.551730746,94.551730746
106,30,2109,4.89521100047,110.843652194,0.7,8.21295674767,1.03281273454,6.53709529228,10.2596866013,102.630695447,102.630695447
107,30,2109,4.89521100047,110.843652194,0.8,2.77123436181,0.646927987997,1.91300254199,4.69473049393,108.072417833,108.072417833
108,30,2109,4.89521100047,110.843652194,0.9,0.993284249792,0.340483427285,0.321520636192,1.66555766978,109.850367945,109.850367945
109,30,2109,4.89521100047,110.843652194,1.0,0.607713953685,0.219879695672,0.302571898772,1.06454120592,110.235938241,110.235938241
110,32,1964,5.366598778,73.6362844787,0.1,101.370060207,0.961564675854,99.9612512012,103.000757497,-27.7337757283,27.7337757283
111,32,1964,5.366598778,73.6362844787,0.2,93.2325273385,2.10340380692,89.2289632583,97.3097230741,-19.5962428598,19.5962428598
112,32,1964,5.366598778,73.6362844787,0.3,72.0381370676,2.2494240187,66.954340376,75.3259867858,1.59814741112,1.59814741112
113,32,1964,5.366598778,73.6362844787,0.4,48.4815407404,2.41323836364,44.962372624,52.877514852,25.1547437383,25.1547437383
114,32,1964,5.366598778,73.6362844787,0.5,30.1594793226,1.84465052958,27.4353744527,33.5926675872,43.4768051561,43.4768051561
115,32,1964,5.366598778,73.6362844787,0.6,15.9241592259,0.758763711611,14.6286981809,17.3424029563,57.7121252528,57.7121252528
116,32,1964,5.366598778,73.6362844787,0.7,7.1150843553,1.23422432943,5.04141739572,9.26390170574,66.5212001234,66.5212001234
117,32,1964,5.366598778,73.6362844787,0.8,2.56928067392,0.775987667781,1.17539372628,4.03613670259,71.0670038048,71.0670038048
118,32,1964,5.366598778,73.6362844787,0.9,0.95157831074,0.423003076225,0.310953273672,2.02134277417,72.684706168,72.684706168
119,32,1964,5.366598778,73.6362844787,1.0,0.643699352601,0.308096732189,0.123067918293,1.12597627588,72.9925851261,72.9925851261
120,34,1802,5.47169811321,101.291179536,0.1,92.8711109269,1.06553729277,90.4278440689,94.796449732,8.4200686088,8.4200686088
121,34,1802,5.47169811321,101.291179536,0.2,86.1669131333,1.46852190113,82.8401373095,89.3544016485,15.1242664024,15.1242664024
122,34,1802,5.47169811321,101.291179536,0.3,65.5302987931,1.91635097272,62.2549097716,68.6625008296,35.7608807426,35.7608807426
123,34,1802,5.47169811321,101.291179536,0.4,44.3395760895,2.11113656327,40.3541128221,46.999344299,56.9516034463,56.9516034463
124,34,1802,5.47169811321,101.291179536,0.5,27.3834397458,2.39877669957,23.0896443567,34.0998933905,73.9077397899,73.9077397899
125,34,1802,5.47169811321,101.291179536,0.6,14.2953032799,1.11802681943,12.4731584665,16.8473147463,86.9958762558,86.9958762558
126,34,1802,5.47169811321,101.291179536,0.7,6.854315199,1.07609241987,4.94925431069,9.29144908785,94.4368643367,94.4368643367
127,34,1802,5.47169811321,101.291179536,0.8,2.31297372394,0.511183207149,0.965582553701,3.13359934254,98.9782058118,98.9782058118
128,34,1802,5.47169811321,101.291179536,0.9,1.08186951417,0.393233473249,0.308188413479,1.82275312685,100.209310022,100.209310022
129,34,1802,5.47169811321,101.291179536,1.0,0.718783395198,0.299876344364,0.123436357642,1.32008000451,100.572396141,100.572396141
130,36,1669,5.73517076093,97.3503039723,0.1,76.129178032,0.399842441882,75.2363413711,76.7648035311,21.2211259403,21.2211259403
131,36,1669,5.73517076093,97.3503039723,0.2,66.1125514083,0.783278238249,64.7288107721,67.9664924649,31.237752564,31.237752564
132,36,1669,5.73517076093,97.3503039723,0.3,48.5442682406,1.25122247686,46.7455370915,51.7782295402,48.8060357317,48.8060357317
133,36,1669,5.73517076093,97.3503039723,0.4,33.0961997757,1.22768016187,30.4710946246,35.2201597122,64.2541041966,64.2541041966
134,36,1669,5.73517076093,97.3503039723,0.5,20.1597906319,0.756229196746,19.1974672966,22.0132336857,77.1905133403,77.1905133403
135,36,1669,5.73517076093,97.3503039723,0.6,10.6839061865,0.645209250687,9.27456084254,11.6658227491,86.6663977858,86.6663977858
